social_site,date,number_results,error
gettr,2022-02-16,328,NA
parler,2022-02-16,30,NA
gab,2022-02-16,187,NA
telegram,2022-02-17,48,NA
truth_social,2022-02-17,0,NA
gettr,2022-02-17,359,NA
parler,2022-02-17,42,NA
gab,2022-02-17,221,NA
telegram,2022-02-18,51,NA
truth_social,2022-02-18,5,NA
gettr,2022-02-18,336,NA
parler,2022-02-18,32,NA
gab,2022-02-18,208,NA
telegram,2022-02-19,89,NA
truth_social,2022-02-19,1,NA
gettr,2022-02-19,202,NA
parler,2022-02-19,33,NA
gab,2022-02-19,89,NA
telegram,2022-02-20,30,NA
truth_social,2022-02-20,2,NA
gettr,2022-02-20,121,NA
parler,2022-02-20,42,NA
